Title,Autor,Date,Place,Country,Category,File_Name,MEAN,R_mean,G_mean,B_mean,STD,R_std,G_std,B_std,ASYMMETRY,R_asy,G_asy,B_asy
 Portrait of Dr. Gachet (1828-1909),Vincent van Gogh,1800,Paris, France,BLUE,img1167.jpg,80.23840874834556,74.76794700364403,78.16355173575316,87.78372750563953,31.95460037740057,35.13623568776262,31.1254641864712,27.726829213537588,0.9632580280303956,1.1876742839813232,1.0728062391281128,0.9632580280303956
 Paysage de Te Vaa,Paul Gauguin,1896,Le Havre, Francia,BLUE,img1168.jpg,108.68335221685771,98.29899253845603,109.50178117567802,118.24928293643907,54.41419927566812,53.81071372069599,54.47077862718133,53.10409429254384,1.1880464553833008,0.5779693722724915,1.0120182037353516,1.1880464553833008
 Motor boat at full speed,Benedetta,1922,Rome, Italia,BLUE,img1169.jpg,151.2118459240508,148.76369055517563,142.38309056946585,162.48875664751094,60.538550545573436,69.20519698088674,57.88818986616397,51.41242447158384,2.758627414703369,1.956130623817444,1.7860759496688845,2.758627414703369
" The Ice Hole, Maine",Marsden Hartley,1908,New Orleans, Estados Unidos,BLUE,img1170.jpg,125.21200924101844,111.22710245077525,114.20294174687912,150.20598352540085,58.08897219508784,62.230607199763135,58.84454374532668,42.96721233042136,0.6586953401565552,0.7550272345542908,0.3268645405769348,0.6586953401565552
 Contes barbares (Barbarian Tales),Paul Gauguin,1902,Essen, Alemania,BLUE,img1171.jpg,60.971453555036106,64.90203023405363,59.62290112178342,58.3894293092713,33.630751135288264,36.18131147323582,24.214686330672496,38.388918399120435,1.8076255321502688,0.3479583263397217,1.8368356227874758,1.8076255321502688
 The Meadow at Veneux-Nadon,Alfred Sisley,1881,Potsdam, Alemania,BLUE,img1172.jpg,131.22093383281106,119.28933642274599,135.40561810368587,138.96784697200135,44.96302787880854,39.88726323186757,38.52977173701157,52.62694450058919,1.5463769435882568,0.09162478893995284,0.4156695902347565,1.5463769435882568
 Portrait of Mrs. Renée Kisling [Portrait de Madame Renée Kisling],Kisling,1920,Nagoya, Japón,BLUE,img1173.jpg,95.21393842269829,92.55723749349285,89.13849278853516,103.946084986067,51.047685507776706,58.27511203816352,46.19762779658096,46.552868944090044,0.8775272369384766,2.5798449516296387,0.5475127100944519,0.8775272369384766
" Tontine Coffee House, New York City",Francis Guy,1797,New York City, NY,BLUE,img1174.jpg,145.71642050036237,135.49610591105352,150.33247251681655,151.32068307321703,69.39357704591404,55.003005484987106,68.87735280523705,80.74536976405804,1.609477162361145,1.1159669160842896,1.2208030223846436,1.609477162361145
 Courtyard of the Palace of the Dux of Venice,Martín Rico y Ortega,1883,Madrid, España,BLUE,img1175.jpg,133.50397234499349,124.27695495513888,135.58775735181538,140.64720472802622,53.46922069553219,57.68532281333528,46.081271124289714,54.63777896390231,2.438732385635376,2.484088182449341,2.2801578044891357,2.438732385635376
" Summer evening at the South Beach, Skagen. Anna Acher and Marie Krøyer",Peder Severin Krøyer,1893,København Ø, Dinamarca,BLUE,img1176.jpg,128.97266822498273,111.37935469383171,128.45265339035817,147.0859965907583,26.946853829612497,33.968266015651025,14.268070370495447,13.531079218452694,2.514359474182129,2.178816556930542,2.188516139984131,2.514359474182129
 Woman Walking on the Banks of the Aven,Émile Bernard,1890,Houston, Estados Unidos,BLUE,img1177.jpg,166.54847962110463,158.08541477406118,174.08841572334106,167.47160836591166,41.11495014299685,48.98916928918018,35.739596034780476,35.56309426497553,1.0024255514144895,0.5160476565361023,0.8805269002914429,1.0024255514144895
 A Puff of Steam,Lowell Birge Harrison,1929,Houston, Estados Unidos,BLUE,img1178.jpg,150.02505214234438,122.43915932590922,138.95614939419613,188.6798477069277,45.919526199939355,44.34557383484011,37.43567243632887,24.086383271712656,2.4763009548187256,1.4678537845611572,1.516849160194397,2.4763009548187256
 Coast near Antibes,Henri Edmond Cross,1892,Washington,Estados Unidos,BLUE,img1179.jpg,161.15682171571282,169.0488930171789,154.60067980687768,159.82089232308178,37.32864066473414,33.71215816536128,32.535789885603364,43.33754165254136,2.085764646530152,1.306437373161316,1.8598474264144893,2.085764646530152
 At the Seaside,William Merritt Chase,1892,New York City, Estados Unidos,BLUE,img1180.jpg,163.6369123566298,161.12024211740447,160.39905480304998,169.39144014943503,45.687953601121556,43.39580561671875,43.93519570222994,48.97691298468065,1.7959640026092532,1.5343892574310305,1.322539210319519,1.7959640026092532
 Dunkle Kühle (Frescura oscura),Kandinsky,1927,Paris, Francia,BLUE,img1181.jpg,79.95430187100001,71.82785370882627,77.48570466167871,90.54934724249507,69.8050093222706,89.49971382435227,65.99084156893528,45.484501926383544,1.8505895137786863,6.596457958221436,1.8582764863967896,1.8505895137786863
 The Flora of the Sleep,Toyen,1931,Olomouc, Chequia,BLUE,img1182.jpg,99.59715828476357,86.72635221345526,89.47688554542762,122.58823709540772,49.080452944255114,61.86740030495157,34.03968656409517,37.996444934279474,0.4359822571277617,1.0479705333709717,0.9395649433135986,0.4359822571277617
 Formes circulaires; lune no. 1,Delaunay,1913,Munich, Alemania,BLUE,img1183.jpg,138.4717886950634,138.10272637262807,130.45655258295992,146.85608712960223,49.191956879403456,49.51573654363144,45.97933413227611,50.58618245133192,0.3736711144447327,0.10262464731931686,0.17343248426914215,0.3736711144447327
 Starting Out After Rail,Thomas Eakins,1874,Boston, MA,BLUE,img1184.jpg,138.323078388742,131.41741775459585,135.4112525390685,148.14056487256173,38.223298180698414,24.735279475968213,30.83348207402804,51.65243444829371,3.7911064624786377,3.32014799118042,5.158763885498047,3.7911064624786377
" Rock Reef, Maine",George Bellows,1913,Houston, Estados Unidos,BLUE,img1185.jpg,111.86764520749762,91.75029856383142,110.72519878737153,133.1274382712899,57.55142116142739,57.89438017655592,55.06976955689418,51.90441057466503,2.656725645065308,2.1834845542907715,2.2736294269561768,2.656725645065308
 Series I - From the Plains,Georgia O'Keeffe,1919,Santa Fe, Estados Unidos,BLUE,img1186.jpg,81.0153449900819,51.25788769917015,87.54641774438852,104.241729526687,54.26007669338306,51.082876912355786,50.76500651036781,46.67221287115196,-0.029370695352554318,5.265373229980469,1.954858541488648,-0.029370695352554318
 Bay of Naples,Christen Købke,1843,Toledo, Estados Unidos,BLUE,img1187.jpg,164.36897385907787,148.94262470781572,158.33232961446987,185.831967254948,67.27693660052654,57.55244718133866,58.467766008806684,78.18389443516286,4.472229480743408,0.7268197536468506,0.8388192653656006,4.472229480743408
 Self-portrait with pipe,Romans Suta,1919,Riga, Letonia,BLUE,img1188.jpg,85.21962729707016,75.34585430085026,86.7412957159918,93.57173187436842,33.37756185434075,36.737632054689406,27.878173949435286,32.33843217368712,0.7162860035896301,2.164544582366944,0.9605752229690552,0.7162860035896301
 Rotterdam - The Steams,SIGNAC,1906,Shimane-ken , Shimane-ken ,BLUE,img1189.jpg,198.36625531205448,176.14215721299598,199.75124784370567,219.20536087946186,38.93049863002534,35.77509776405522,35.11241614875858,33.22521213532048,5.553813934326172,1.0159145593643188,1.2340121269226074,5.553813934326172
